MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,class
0.190829,0.022044,0.069382,0,0.019231,0.136364,45
0.190829,0.01002,0.186687,0.023438,0.019231,0.136364,53
0.190829,0.004008,0.011011,0.023438,0.115385,0.136364,36
0.109912,0.022044,0.186687,0.023438,0.019231,0.176136,84
0.211059,0.029309,0.045921,0,0.038462,0.022727,16
0.190829,0.029309,0.061562,0.03125,0.057692,0.363636,38
0.190829,0.029309,0.249249,0.03125,0.038462,0.636364,38
0.211059,0.029309,0.03028,0,0.019231,0.011364,16
0.211059,0.029309,0.061562,0,0.057692,0.034091,22
0.08294,0.060621,0.061562,0,0.057692,0.034091,29
0.08294,0.060621,0.061562,0,0.076923,0.045455,40
0.08294,0.060621,0.061562,0.03125,0.019231,0.113636,35
0.08294,0.060621,0.499499,0.125,0.019231,0.113636,134
0.08294,0.060621,0.124124,0.125,0.019231,0.306818,66
0.08294,0.060621,0.499499,0.125,0.019231,0.306818,141
0.08294,0.060621,0.499499,0.125,0.019231,0.306818,189
0.08294,0.060621,0.061562,0.03125,0.019231,0.113636,22
0.026972,0.123246,0.249249,0.003906,0.115385,0.068182,132
0.026972,0.123246,0.374374,0.25,0.230769,0.090909,237
0.006069,0.498998,0.499499,0.25,0.307692,0.136364,465
0.006069,0.498998,0.499499,0.25,0.153846,0.136364,465
0.006069,0.248497,0.499499,0,0.153846,0.136364,277
0.006069,0.248497,0.249249,0,0.153846,0.090909,185
0.312205,0.001002,0.007007,0,0.019231,0.005682,6
0.125421,0.029309,0.03028,0,0.019231,0.028409,24
0.066082,0.014028,0.092843,0.0625,0.019231,0.034091,45
0.730276,0.014028,0.02246,0,0.019231,0.005682,7
0.730276,0.022044,0.03028,0,0.019231,0.005682,13
0.393122,0.022044,0.03028,0,0.019231,0.005682,16
0.25826,0.060621,0.061562,0,0.019231,0.005682,32
0.25826,0.123246,0.124124,0,0.019231,0.005682,32
0.595415,0.029309,0.01464,0,0.019231,0.011364,11
0.595415,0.014028,0.01464,0,0.019231,0.011364,11
0.595415,0.029309,0.061562,0.015625,0.019231,0.011364,18
0.595415,0.029309,0.061562,0.03125,0.019231,0.011364,22
0.595415,0.060621,0.061562,0,0.057692,0.034091,37
0.140256,0.060621,0.061562,0.03125,0.057692,0.034091,40
0.140256,0.060621,0.061562,0.03125,0.057692,0.034091,34
0.109912,0.060621,0.124124,0.03125,0.019231,0.034091,50
0.113284,0.060621,0.249249,0.0625,0.019231,0.034091,76
0.109912,0.060621,0.249249,0.0625,0.019231,0.034091,66
0.140256,0.029309,0.061562,0.007813,0.057692,0.034091,24
0.005394,0.060621,0.186687,0.03125,0.019231,0.022727,49
0.005394,0.060621,0.186687,0.0625,0.057692,0.028409,66
0,0.123246,0.249249,0.03125,0.115385,0.068182,100
0,0.123246,0.249249,0.125,0.115385,0.068182,133
1,0.022044,0.01464,0,0,0,12
1,0.022044,0.03028,0,0,0,18
0.527984,0.022044,0.03028,0,0,0,20
0.022252,0.060621,0.061562,0,0.057692,0.034091,27
0.022252,0.060621,0.124124,0.03125,0.057692,0.034091,45
0.022252,0.060621,0.124124,0.03125,0.019231,0.034091,56
0.022252,0.060621,0.249249,0.09375,0.019231,0.034091,70
0.022252,0.060621,0.249249,0.09375,0.019231,0.034091,80
0.022252,0.248497,0.249249,0.1875,0.019231,0.056818,136
0.055968,0.029309,0.124124,0,0.038462,0.034091,16
0.055968,0.029309,0.124124,0.09375,0.038462,0.034091,26
0.055968,0.029309,0.124124,0.09375,0.057692,0.034091,32
0.022252,0.060621,0.249249,0.046875,0.057692,0.090909,45
0.022252,0.060621,0.249249,0.09375,0.115385,0.090909,54
0.022252,0.060621,0.249249,0.09375,0.115385,0.090909,65
0.089683,0.014028,0.061562,0,0.153846,0.727273,30
0.066082,0.060621,0.124124,0.0625,0.019231,0.017045,50
0.066082,0.060621,0.061562,0.007813,0.019231,0.028409,40
0.050573,0.060621,0.124124,0.125,0.019231,0.034091,62
0.050573,0.060621,0.124124,0.125,0.019231,0.034091,60
0.050573,0.060621,0.124124,0.015625,0.019231,0.034091,50
0.03911,0.123246,0.249249,0.0625,0.019231,0.034091,66
0.028995,0.123246,0.249249,0.125,0.019231,0.034091,86
0.028995,0.060621,0.249249,0.25,0.096154,0.045455,74
0.028995,0.123246,0.249249,0.25,0.096154,0.045455,93
0.022252,0.123246,0.249249,0.25,0.096154,0.056818,111
0.037087,0.123246,0.249249,0.25,0.153846,0.090909,143
0.037087,0.060621,0.124124,0.0625,0.115385,0.045455,105
0.015509,0.248497,0.249249,0.125,0.153846,0.090909,214
0.015509,0.248497,0.499499,0.25,0.153846,0.136364,277
0.012138,0.248497,0.499499,0.25,0.153846,0.136364,370
0.01416,0.498998,0.499499,0.5,0.307692,0.181818,510
0.020904,0.123246,0.374374,0.125,0.153846,0.136364,214
0.01416,0.248497,0.499499,0.25,0.153846,0.136364,326
0.008766,0.498998,0.499499,1,0.307692,0.136364,510
0.064059,0.029309,0.01464,0,0.019231,0.022727,8
0.045179,0.029309,0.03028,0,0.019231,0.034091,12
0.026298,0.029309,0.061562,0,0.019231,0.034091,17
0.026298,0.060621,0.092843,0,0.019231,0.045455,21
0.026298,0.060621,0.124124,0,0.019231,0.045455,24
0.026298,0.123246,0.124124,0,0.019231,0.045455,34
0.026298,0.123246,0.186687,0,0.019231,0.045455,42
0.026298,0.123246,0.249249,0,0.019231,0.045455,46
0.01416,0.123246,0.124124,0.125,0.307692,0.181818,51
0.01416,0.123246,0.124124,0.125,0.307692,0.181818,116
0.01416,0.248497,0.249249,0.25,0.076923,0.045455,100
0.01416,0.248497,0.374374,0.625,0.076923,0.045455,140
0.01416,0.123246,0.249249,0.5,0.307692,0.181818,212
0.123399,0.029309,0.03028,0,0.019231,0.011364,25
0.123399,0.029309,0.061562,0,0.019231,0.022727,30
0.123399,0.060621,0.124124,0.25,0.019231,0.028409,41
0.157114,0.014028,0.061562,0,0.019231,0.039773,25
0.157114,0.014028,0.061562,0,0.076923,0.039773,50
0.157114,0.029309,0.249249,0.003906,0.019231,0.045455,50
0.096426,0.014028,0.061562,0.007813,0.019231,0.028409,30
0.096426,0.014028,0.03028,0.007813,0.057692,0.045455,32
0.096426,0.029309,0.061562,0.03125,0.019231,0.079545,38
0.096426,0.029309,0.124124,0.0625,0.019231,0.079545,60
0.096426,0.060621,0.124124,0.125,0.019231,0.073864,109
0.150371,0.014028,0.01464,0.03125,0.019231,0.017045,6
0.150371,0.014028,0.03028,0.03125,0.019231,0.028409,11
0.059339,0.060621,0.061562,0.03125,0.057692,0.045455,22
0.059339,0.060621,0.092843,0.0625,0.115385,0.090909,33
0.059339,0.060621,0.124124,0.0625,0.076923,0.079545,58
0.023601,0.123246,0.249249,0.125,0.076923,0.068182,130
0.035738,0.123246,0.186687,0.03125,0.115385,0.045455,75
0.028321,0.123246,0.186687,0.125,0.115385,0.068182,113
0.028321,0.248497,0.249249,0.25,0.230769,0.136364,188
0.006069,0.248497,0.374374,0.125,0.153846,0.090909,173
0.006069,0.248497,0.499499,0.25,0.230769,0.090909,248
0.006069,0.248497,0.499499,0.5,0.461538,0.181818,405
0.066757,0.060621,0.124124,0.125,0.096154,0.159091,70
0.022252,0.060621,0.499499,0.09375,0.115385,0.147727,114
0.022252,0.060621,0.499499,0.1875,0.5,0.295455,208
0.022252,0.060621,0.499499,0.4375,1,0.590909,307
0.022252,0.123246,0.499499,0.4375,1,0.590909,397
0.008766,0.248497,1,0.375,0.230769,1,915
0.008766,0.248497,1,0.5,0.230769,1,1150
0.109912,0.0062,0.061562,0,0.019231,0.017045,12
0.109912,0.014028,0.061562,0,0.019231,0.017045,14
0.109912,0.0062,0.061562,0,0.019231,0.017045,18
0.109912,0.014028,0.061562,0,0.019231,0.017045,21
0.072151,0.029309,0.124124,0,0.019231,0.045455,42
0.054619,0.029309,0.124124,0.125,0.038462,0.045455,46
0.072825,0.060621,0.124124,0,0.038462,0.079545,52
0.312205,0.014028,0.124124,0.125,0,0,67
0.312205,0.029309,0.061562,0,0,0,45
