P3,P6p4,P11p3,P16p2,P19p2,H5p2,H15p1,H40p4,price
0.000087,0.001848,0.435937,0.603752,0,0.071429,0.580569,1,14999
0.000022,0,0.456595,0.653366,0.15625,0.2,0.62931,0.666667,28800
0.001051,0.048057,0.361421,0.963445,0.360445,0.034091,0.454545,0,44400
0.000043,0,0.516974,0.668408,0,0.037736,0.63945,0.318182,86100
0.001892,0.00602,0.472319,0.623061,0.059606,0.131637,0.573403,0.781513,24200
0.00178,0.011233,0.535934,0.819035,0.019327,0.659942,0.677452,0.344978,84100
0.00167,0.019456,0.531464,0.75109,0.01678,0.300546,0.66362,0.2,69900
0.000061,0,0.438985,0.61306,0,0,0.607971,0,24300
0.001389,0.004181,0.502012,0.641098,0.001022,0.2,0.679067,0.208333,82100
0.001637,0.067827,0.38051,0.732842,0.003033,0.231293,0.552282,0.470588,61300
0.000163,0.000877,0.469807,0.690777,0,0.285714,0.656303,0.25,81700
0.000237,0.034306,0.504534,0.592925,0.007463,0.173077,0.626133,0.222222,169500
0.00012,0,0.461975,0.603503,0.0059,0.166667,0.638521,0.666667,20500
0.000013,0,0.419665,0.576765,0,0.166667,0.617857,1,17500
0.000071,0,0.360016,0.53486,0,0.333333,0.675497,0.571429,15400
0.000101,0.001485,0.431337,0.645338,0,0.368421,0.576786,0.428571,21100
0.000381,0.006699,0.517375,0.634946,0.003717,0.44186,0.606942,0.052632,86200
0.000031,0,0.410931,0.640007,0.436782,0,0.522222,0,14999
0.000182,0.001674,0.376874,0.533756,0.182524,0.11,0.54434,0.545454,23600
0.000372,0.004017,0.313309,0.581563,0.005709,0.225,0.642958,0.222222,96800
0.000076,0,0.398243,0.713393,0.004673,0.157895,0.606623,0.333333,23300
0.000017,0,0.416834,0.619382,0.041667,0.142857,0.622857,1,30800
0.000106,0.004557,0.409343,0.582408,0.003333,0.222222,0.530769,0.5,16900
0.000262,0.0164,0.532183,0.6861,0.005405,0.227723,0.612048,0.347826,79000
0.000166,0.005036,0.379665,0.755664,0,0.037037,0.661022,0.375,57200
0.000311,0.002146,0.513126,0.752069,0,0.15,0.61215,0.5,43400
0.000101,0,0.484606,0.466146,0,0.125,0.626816,1,38100
0.000232,0.007534,0.354798,0.52111,0,0.169491,0.631818,0.7,16600
0.000338,0.001725,0.385735,0.599206,0.214885,0.236364,0.578774,0.807692,30300
0.000388,0.012851,0.401187,0.535982,0.001828,0.2,0.644574,0.384615,19300
0.000784,0.016701,0.373554,0.442833,0.004975,0.135021,0.639539,0.34375,41200
0.006424,0.045361,0.476883,0.623177,0.009883,0.188172,0.582937,0.257143,163900
0.000129,0,0.436835,0.639884,0.005464,0.117647,0.635986,0.5,29200
0.000041,0.003816,0.436194,0.579754,0.008475,0.178571,0.605376,0.8,21300
0.000016,0,0.422632,0.44901,0,0,0.531707,0,14999
0.000629,0.002991,0.448599,0.293475,0.002253,0.03949,0.479807,0.435484,134800
0.000038,0,0.332768,0.817059,0,0.032258,0.358824,1,14999
0.001169,0.001679,0.351282,0.83579,0.002729,0.065195,0.477413,0.467742,18800
0.000139,0.006695,0.415379,0.677085,0,0.125,0.548197,0.857143,21700
0.000399,0.005068,0.387627,0.576608,0,0.238095,0.630563,0.6,23300
0.000015,0.05823,0.27546,0.436488,0,0.571429,0.608333,0.75,14999
0.000007,0,0.304442,0.673756,0,0.285714,0.611765,1,14999
0.000245,0.004251,0.447445,0.617182,0.00289,0.163265,0.691471,0.625,29600
0.000011,0,0.37026,0.723187,0,0.142857,0.522222,0,17500
0.000036,0,0.400381,0.641771,0.421569,0.2,0.563415,0.666667,19400
0.000082,0,0.559088,0.576307,0.004329,0.230769,0.686628,0,66800
0.000101,0.001396,0.421996,0.690807,0,0.043478,0.637427,1,36000
0.000416,0.003046,0.391816,0.614287,0.000852,0.126394,0.579702,0.676471,22800
0.001576,0.008369,0.373116,0.521832,0.002476,0.128514,0.675948,0.65625,47200
0.000104,0.002976,0.37993,0.720362,0,0.074074,0.460902,0.25,36900
0.000245,0.005444,0.62891,0.400315,0.00289,0.024829,0.562539,0.310345,117300
0.000029,0,0.488831,0.689292,0,0,0.632787,0,38800
0.000099,0.001669,0.503636,0.600612,0.007117,0.060606,0.622703,0.5,38400
0.00029,0.000448,0.414091,0.705225,0.035409,0.08377,0.514697,0.625,14999
0.000571,0.002701,0.497139,0.616851,0.004345,0.25,0.599928,0.25,56000
0.000046,0,0.446611,0.752846,0,0.222222,0.59646,1,32300
0.000075,0.002162,0.384071,0.593734,0,0.025,0.547244,1,14999
0.00114,0.001719,0.430929,0.502209,0.077162,0.123153,0.610823,0.64,30700
0.000044,0,0.427995,0.673756,0,0,0.610101,0,19200
0.000255,0,0.429287,0.597073,0.047288,0.060241,0.589277,0.6,27200
0.000191,0.006342,0.519126,0.515779,0,0.190476,0.676378,0.25,114600
0.000086,0,0.411067,0.679104,0,0.090909,0.543721,1,22000
0.000292,0.001,0.442014,0.648843,0.002424,0.176471,0.568165,0.166667,66300
0.002652,0.003444,0.435004,0.60294,0.001739,0.229851,0.648445,0.376623,41400
0.000021,0,0.368949,0.646108,0,0.125,0.676786,1,14999
0.00012,0.001362,0.438724,0.599653,0,0.180723,0.557088,0.866667,14999
0.000425,0.055719,0.509317,0.849677,0.005008,0.64,0.881558,0.09375,274600
0.000071,0.010449,0.497224,0.83769,0.00995,0.066667,0.63631,0,40000
0.000531,0.009838,0.553428,0.725772,0.001334,0.040698,0.667554,0.428571,74500
0.00289,0.004531,0.411052,0.660546,0.050061,0.160517,0.572245,0.431034,35300
0.000018,0,0.343998,0.488245,0,0,0.547368,0,14999
0.000083,0,0.40302,0.572412,0,0.025,0.549,1,14999
0.000329,0.003764,0.459993,0.430479,0.001078,0.095238,0.574773,0,57200
0.000208,0.00075,0.411767,0.555374,0.001704,0.071429,0.603618,0.5,27700
0.001392,0.008808,0.25219,0.360808,0.008151,0.12782,0.655334,0.205882,40500
0.000082,0.003618,0.437251,0.717538,0.164502,0.153846,0.607527,0.25,28600
0.000694,0.010009,0.387514,0.462539,0.002044,0.19,0.528447,0.31579,147800
0.000038,0,0.447687,0.557027,0,0.1875,0.553846,0.333333,32500
0.000559,0.01156,0.524628,0.70146,0.004436,0.506494,0.589019,0.435897,79400
0.000022,0.008803,0.495104,0.469854,0,0.272727,0.554545,1,14999
0.000707,0.020516,0.249902,0.375966,0.009023,0.112676,0.65119,0.5,30500
0.000054,0,0.413765,0.673756,0.026316,0.333333,0.603968,0,31300
0.000288,0.004116,0.417334,0.707505,0,0.081633,0.552328,0.666667,32900
0.000224,0.008719,0.256069,0.68821,0.212025,0.12766,0.633028,0.666667,53100
0.000027,0,0.383948,0.531547,0,0.307692,0.604839,0.75,14999
0.000446,0.018515,0.381647,0.617525,0.007943,0.226415,0.7538,0.333333,122000
0.029219,0.126992,0.485192,0.543549,0.262269,0.129346,0.585873,0.395737,91800
0.000036,0,0.388354,0.341177,0,0.074074,0.481609,1,14999
0.000031,0,0.467869,0.733073,0,0.142857,0.593506,1,14999
0.001363,0.003513,0.412494,0.536386,0.036411,0.150685,0.635023,0.690909,26800
0.000042,0.004022,0.42532,0.594251,0,0.107143,0.580808,1,21000
0.000364,0.001288,0.394641,0.638212,0,0.216216,0.640179,0.625,41900
0.000112,0,0.437059,0.625386,0,0.102041,0.578947,1,19200
0.000993,0.008374,0.472875,0.732575,0.00357,0.548611,0.548126,0.151899,67400
0.000363,0.000525,0.31765,0.845799,0.985352,0.360656,0.583295,0.5,30500
0.000298,0.006022,0.491717,0.649317,0.002378,0.5,0.512913,0.688525,39400
0.000161,0.016642,0.486008,0.713192,0.527473,0.428571,0.689844,0,136400
0.003783,0.027062,0.576518,0.473581,0.03253,0.145885,0.615503,0.435897,68700
0.000333,0.007084,0.432782,0.757311,0.004251,0.19697,0.628608,0.461539,110400
0.000212,0.003167,0.504932,0.832528,0.003333,0.117647,0.621402,0,51500
0.000594,0.139054,0.471833,0.840286,0.136716,0.310345,0.569408,0.814815,38600
0.000013,0,0.450202,0.531547,0,0,0.582353,0,14999
0.000236,0.003308,0.439875,0.561089,0,0.116667,0.710276,0.571429,27600
0.000016,0,0.291561,0.710005,0,0.047619,0.615385,1,27500
0.000238,0.003156,0.431742,0.67618,0,0.203125,0.565914,0.769231,30100
0.000139,0,0.47175,0.667945,0.150127,0.057692,0.571552,0.5,53300
0.000206,0.000779,0.442972,0.562766,0.006873,0.139535,0.679019,0.666667,56500
0.00019,0.004235,0.441501,0.759418,0,0.416667,0.606725,0,49900
0.000059,0,0.501346,0.724854,0,0.5,0.648201,0,45200
0.004181,0.007055,0.533843,0.593717,0.074398,0.273282,0.682668,0.324022,75700
0.000477,0.016235,0.481823,0.868145,0.110698,0.074074,0.765427,0,75500
0.000013,0,0.335252,0.553561,0,0.428571,0.579412,0.666667,14999
0.000056,0,0.397993,0.630667,0.006289,0.666667,0.545385,1,32700
0.000193,0.001785,0.459631,0.595338,0,0.125,0.600459,0.666667,37800
0.000262,0.004702,0.441739,0.613798,0,0.114286,0.671247,0.375,65000
0.000004,0,0.521804,0.288195,0,0.2,0.644444,1,14999
0.000126,0,0.422035,0.453816,0,0.093333,0.580237,0.428571,14999
0.000048,0,0.441158,0.681006,0.007407,0.2,0.569792,0.5,16600
0.000205,0.000804,0.426884,0.587546,0.010363,0.196721,0.519639,0.75,20900
0.000596,0.003389,0.429609,0.612076,0,0.291667,0.626718,0.476191,35000
0.000154,0.000963,0.434597,0.703006,0.002299,0.115385,0.619034,1,29800
0.00025,0.00274,0.369357,0.502073,0,0.152542,0.612,0.666667,18100
0.000166,0,0.496558,0.743466,0.002137,0.285714,0.631429,0.25,43300
0.000262,0.007714,0.413245,0.700613,0.017544,0.272727,0.511545,0.428571,72900
0.027826,0.026633,0.462612,0.509418,0.064191,0.163358,0.59688,0.450633,36700
0.000006,0.015747,0.265256,0.782504,0,0.333333,0.4375,1,67500
0.003024,0.032648,0.502176,0.623259,0.121365,0.140411,0.634968,0.390244,50900
0.000071,0,0.424525,0.686806,0,0,0.678395,0,42800
0.00035,0,0.401467,0.579083,0,0.082569,0.576323,0.851852,23000
0.000153,0.002359,0.438252,0.540842,0,0.027491,0.596133,0.9375,65200
0.000023,0,0.359061,0.839388,0,0.083333,0.457143,1,17100
0.001152,0.014372,0.394575,0.733703,0.007079,0.148148,0.462946,0.416667,115700
0.003717,0.021067,0.46073,0.648794,0.060103,0.104558,0.587487,0.487179,43900
0.000085,0.001529,0.451392,0.805871,0,0.375,0.580729,0.444444,52500
0.000317,0.013158,0.456795,0.687972,0.334078,0.055794,0.527207,0.846154,35400
0.00029,0.0032,0.472146,0.789931,0,0.142857,0.61287,0,49900
0.000532,0.014311,0.507326,0.774105,0.044607,0.412371,0.58445,0.525,58500
0.000115,0,0.441909,0.658699,0.003077,0.212121,0.56,1,16100
0.000213,0,0.457681,0.603305,0.001661,0.18421,0.489583,0.642857,14999
0.000005,0,0.62088,0.913002,0,0,0.692308,0,40600
0.000197,0,0.413557,0.662627,0,0.119048,0.558711,0.6,33900
0.000723,0.013821,0.251925,0.566287,0.00098,0.206294,0.543915,0.576271,176600
0.000046,0,0.40826,0.545236,0,0,0.4875,0,21900
0.000156,0.003777,0.368476,0.575883,0.104545,0.289474,0.529433,0.5,24100
0.000032,0,0.472121,0.483746,0,0.076923,0.622,0,26400
0.00093,0.008553,0.461261,0.570149,0.303088,0.145985,0.594859,0.7,47600
0.000121,0.001077,0.396915,0.667059,0.002933,0.076923,0.604724,0.25,35500
0.002044,0.007022,0.538467,0.677152,0.164122,0.298578,0.633342,0.587302,64200
0.000008,0,0.40332,0.375881,0,0,0.686667,0,14999
0.000245,0.0043,0.483765,0.758965,0.002886,0.444444,0.700528,0.5,67100
0.000097,0.008055,0.392389,0.553936,0,0.25,0.738172,0.2,23200
0.000019,0.007764,0.47169,0.637507,0,0,0.538462,0,39400
0.000217,0.005553,0.491383,0.782504,0.019608,0.031818,0.573358,0.142857,104700
0.000016,0.008282,0.500873,0.71631,0.021739,0,0.582353,0,40000
0.000594,0.001368,0.428275,0.539832,0.00358,0.094891,0.594101,0.384615,34600
0.000069,0,0.386244,0.520621,0,0.166667,0.615033,1,14999
0.000082,0,0.395795,0.574343,0,0.04,0.666486,1,21500
0.000045,0.026529,0.517383,0.582,0,0.04,0.509474,1,23300
0.000029,0,0.590117,0.565008,0,0.050704,0.583333,0.111111,128500
0.000173,0.006005,0.459028,0.468936,0.087935,0.447368,0.739149,0.352941,91800
0.000093,0,0.427995,0.632821,0.372624,0.131579,0.517801,0.8,22000
0.001102,0.105806,0.543168,0.722131,0.168865,0.525773,0.627176,0.137255,181900
0.000059,0,0.487249,0.622658,0.108434,0.333333,0.58125,1,32700
0.000027,0,0.243793,0.779679,0.909091,0,0.538462,0,17500
0.000084,0.005884,0.399395,0.748833,0,0.222222,0.656338,0.5,60800
0.000465,0.029335,0.54791,0.746172,0.000763,0.441177,0.729112,0.266667,107400
0.000038,0,0.385152,0.473221,0,0.214286,0.590323,0.666667,14999
0.002492,0.003034,0.452663,0.650174,0.173449,0.166392,0.617235,0.415842,46200
0.000047,0.013349,0.312228,0.597714,0,0.02381,0.538889,0,16200
0.000225,0.003093,0.355881,0.504726,0.00315,0.142857,0.5465,0.9,24000
0.000936,0.004018,0.383563,0.587902,0.222643,0.142395,0.562913,0.568182,20500
0.000234,0,0.399985,0.745707,0.098187,0.04,0.509409,0,32600
0.000013,0,0.425365,0.553561,0,0.142857,0.647059,1,14999
0.000444,0.004577,0.457485,0.779382,0.045455,0.132076,0.54182,0.5,33200
0.000032,0,0.384638,0.526767,0,0.25,0.581013,1,27000
0.000033,0,0.485195,0.766478,0,0.4,0.543023,0,22900
0.000058,0,0.462413,0.612462,0,0,0.558163,0,40000
0.000268,0.006876,0.508062,0.534553,0.001321,0.063025,0.598816,0.133333,83300
0.000077,0,0.363695,0.407373,0.004587,0.034483,0.503731,0,18300
0.001096,0.06361,0.552698,0.834503,0.006794,0.646465,0.715141,0.078125,209500
0.000019,0,0.407876,0.80667,0.259259,0.176471,0.567925,0.333333,18800
0.000023,0.006425,0.400381,0.66387,0,0.142857,0.503922,1,14999
0.0001,0.017344,0.559051,0.802416,0.288732,0.5,0.737398,0,60900
0.000102,0.007974,0.41551,0.492509,0.159722,0.096774,0.585795,0.333333,29900
0.000297,0.000452,0.354418,0.618474,0.707637,0.046875,0.563776,0.666667,16800
0.000547,0.001171,0.334067,0.623646,0.241089,0.170213,0.59932,0.3125,42800
0.000066,0,0.453028,0.59046,0.005319,0.090909,0.556081,0.5,41200
0.000416,0.007541,0.476572,0.566121,0.007673,0.138889,0.518936,0.4,45300
0.00011,0,0.394972,0.644478,0,0.25,0.619368,0.833333,22400
0.000006,0,0.456595,0.381854,0,0,0.49375,0,14999
0.006567,0.004288,0.46982,0.69356,0.422878,0.158528,0.639676,0.582279,48700
0.000024,0,0.432969,0.692947,0,0.029412,0.526984,1,25500
0.000253,0.001898,0.413234,0.57904,0,0.098039,0.598185,0.6,22900
0.000122,0,0.512924,0.727657,0.008696,0.088889,0.555986,0.25,42000
0.000071,0.002272,0.423461,0.590978,0.129353,0.043478,0.52521,1,14999
0.000211,0.008366,0.389505,0.616828,0.005034,0.056818,0.586014,0.2,64100
0.000901,0.01295,0.429702,0.772066,0.002754,0.2,0.539495,0.666667,71300
0.000506,0.01603,0.50811,0.84932,0.008398,0.585106,0.657061,0.327273,123500
0.000223,0.005996,0.533669,0.730291,0.007949,0.238095,0.648816,0.2,50100
0.000046,0,0.410854,0.508124,0.038462,0,0.550538,0,14999
0.000212,0.016094,0.089335,0.294137,0.045075,0.032432,0.651793,0.166667,60900
0.000045,0,0.439673,0.537607,0,0.111111,0.565,1,17300
0.000143,0.007132,0.456595,0.799234,0,0.2,0.573585,0.6,37200
0.000054,0,0.465896,0.710005,0.248366,0.1,0.580451,1,27100
0.000911,0.002863,0.474483,0.615616,0.008171,0.061526,0.560746,0.206751,208900
0.000043,0,0.408139,0.732587,0,0.1,0.602151,0,25800
0.000017,0,0.408173,0.374699,0,0.028571,0.439394,0,14999
0.000127,0.002384,0.410249,0.655631,0,0,0.661429,0,27300
0.000006,0,0.441069,0.420011,0,0,0.59375,0,14999
0.000016,0,0.420368,0.623007,0,0,0.645714,0,20900
0.000165,0.005021,0.530622,0.809574,0.006438,0.086957,0.728401,0.25,60000
0.000344,0.008548,0.406326,0.582946,0.287629,0.114504,0.665993,0.666667,55000
0.000014,0,0.630485,0.739005,0,0,0.784615,0,101600
0.000139,0.004601,0.511607,0.778088,0.002538,0.15,0.63515,0.5,51200
0.000283,0.003123,0.439248,0.747161,0,0.433333,0.661285,0.230769,66100
0.000031,0,0.409222,0.625007,0.114943,0,0.565152,0,19300
0.000334,0.004919,0.407037,0.610166,0.001059,0.171429,0.584306,0.666667,47900
0.001496,0.003134,0.436943,0.556865,0.033649,0.25,0.664175,0.637931,42400
0.000161,0.000942,0.510157,0.695984,0,0.038462,0.593417,0.5,36800
0.000074,0,0.405537,0.641286,0,0.115385,0.556886,0.666667,29100
0.000422,0.008645,0.469651,0.720362,0.007563,0.171429,0.65196,0.5,89000
0.000175,0.003704,0.37948,0.762732,0.012121,0.1,0.474834,1,47000
0.000344,0,0.401076,0.718061,0.520576,0.021127,0.555995,0.666667,32500
0.000006,0,0.430719,0.692947,0,0.166667,0.594118,1,14999
0.000498,0.006309,0.396069,0.635238,0.368421,0.141177,0.621154,0.416667,36700
0.000009,0,0.439614,0.634607,0,0.125,0.622727,1,14999
0.000029,0.020054,0.434664,0.761285,0,0.125,0.571429,0,22900
0.000434,0.000375,0.460602,0.623954,0,0.054945,0.59897,0.8,40100
0.000073,0.002339,0.508889,0.594571,0,0.023529,0.550323,0,48100
0.000025,0,0.378031,0.466982,0.957746,0,0.506897,0,14999
0.000155,0,0.422688,0.627575,0.027397,0.111111,0.531615,0.6,35900
0.000471,0.001801,0.435875,0.686021,0.000752,0.202532,0.579063,0.3125,33400
0.000524,0.001539,0.461682,0.564419,0.001354,0.141243,0.6294,0.6,24500
0.001348,0.003297,0.408981,0.645096,0.116781,0.320242,0.570968,0.754717,30100
0.000401,0.003177,0.383433,0.564239,0,0.269231,0.621132,0.714286,20800
0.037397,0.006213,0.446478,0.526549,0.564697,0.138975,0.620308,0.516735,32800
0.00004,0,0.492822,0.656585,0,0,0.602299,0,31300
0.000188,0.009495,0.431598,0.63382,0,0.16129,0.656403,0.4,35700
0.001338,0.067793,0.531294,0.61252,0.006363,0.15,0.755833,0,81000
0.000613,0.008298,0.463684,0.561987,0.002893,0.157303,0.660508,0.285714,62300
0.001563,0.002475,0.410654,0.655697,0.036978,0.155529,0.542273,0.507813,22800
0.000062,0.002606,0.457862,0.619693,0,0,0.620588,0,17700
0.000895,0.005901,0.552718,0.806632,0.025753,0.576687,0.675185,0.308511,70200
0.000038,0,0.430941,0.492509,0,0.25,0.548913,0.571429,14999
0.000057,0,0.466431,0.647737,0.01227,0.125,0.642975,0,89200
0.000444,0.004549,0.342472,0.54279,0.042299,0.094937,0.543674,0.6,29800
0.000704,0.002539,0.426082,0.583197,0.071033,0.178295,0.597661,0.26087,32300
0.000061,0,0.438985,0.527509,0,0,0.638462,0,43300
0.000701,0.008828,0.426038,0.355103,0.396055,0.073791,0.596614,0.931034,18600
0.000453,0.001567,0.430545,0.650508,0.001566,0.266667,0.588989,0.5,43100
0.003163,0.008369,0.466791,0.61139,0.001794,0.151235,0.573011,0.346939,64100
0.000008,0,0.474124,0.619382,0,0,0.613043,0,16700
0.000059,0.0052,0.431321,0.677687,0,0.243243,0.564886,0.777778,27900
0.000374,0.002592,0.378066,0.553886,0.000947,0.205128,0.559304,0.5625,25000
0.000711,0.003316,0.410282,0.589066,0.152965,0.140244,0.558542,0.652174,30500
0.000139,0.002214,0.446911,0.678724,0,0.136364,0.615058,0,43300
0.000282,0.002788,0.448193,0.581949,0.383166,0.116883,0.5806,0.777778,28800
0.000887,0.023369,0.519215,0.692671,0.023591,0.227979,0.689261,0.431818,124300
0.000065,0,0.437326,0.666664,0,0.035714,0.577519,1,23800
0.000268,0.007311,0.424909,0.545496,0.021108,0.239669,0.614742,0.896552,15100
0.000136,0,0.450958,0.62376,0,0.285714,0.610616,1,23800
0.000087,0.003222,0.342277,0.618056,0.252032,0.095238,0.602424,0.5,31400
0.00019,0.006091,0.462516,0.805228,0.044776,0.190476,0.569351,0.083333,42400
0.000029,0.004678,0.404301,0.697628,0.012195,0,0.501961,0,15900
0.000027,0,0.421698,0.644097,0.324675,0,0.529231,0,16000
0.001242,0.002575,0.411182,0.607986,0.127356,0.086268,0.500592,0.469388,30200
0.000147,0.001133,0.453842,0.60788,0.040865,0.428571,0.540456,0.666667,16900
0.000014,0,0.327213,0.586227,0,0,0.665517,0,28800
0.000078,0.003549,0.446245,0.710661,0,0.153846,0.633714,0,33800
0.000745,0.003697,0.518083,0.675775,0.011899,0.151899,0.622854,0.333333,56900
0.000071,0,0.42572,0.699856,0.005,0.095238,0.630409,0,26100
0.000106,0.00509,0.381558,0.544776,0,0.088496,0.579167,0.8,14999
0.000415,0.016891,0.51391,0.860699,0.005978,0.575,0.714465,0.347826,71400
0.001217,0.002992,0.503246,0.684691,0.000874,0.387097,0.540282,0.533333,57000
0.000059,0.004747,0.423137,0.677687,0,0,0.682517,0,57500
0.00176,0.142588,0.503406,0.58674,0.171233,0.113879,0.630879,0.25,78100
0.000139,0.001065,0.496962,0.746994,0,0.173913,0.572156,1,20700
0.000546,0.001754,0.468955,0.605118,0.000649,0.114286,0.625714,0.5,31500
0.000318,0.809828,0.397085,0.765774,0.018952,0.056452,0.514447,0.714286,131800
0.000015,0.019614,0.342194,0.555122,0,0,0.651282,0,14999
0.011743,0.010966,0.502121,0.567793,0.032286,0.17094,0.566421,0.225,50900
0.000492,0.00546,0.547917,0.684098,0.03098,0.3125,0.624007,0,61500
0.000014,0,0.50786,0.52257,0,0,0.57,0,23300
0.000218,0,0.39532,0.58478,0.368507,0.177419,0.579303,0.818182,24100
0.000022,0,0.416343,0.544294,0,0,0.567925,0,17500
0.000018,0,0.447539,0.462657,0,0,0.538462,0,14999
0.000561,0.000924,0.400257,0.644097,0.965909,0.004608,0.708511,0,82800
0.000022,0,0.394771,0.600088,0,0.2,0.631373,0,14999
0.000585,0.001286,0.444214,0.61958,0,0.130435,0.648243,0.111111,51300
0.0001,0,0.391771,0.569636,0,0.086957,0.57,0.75,14999
0.007014,0.004608,0.443572,0.648171,0.081863,0.15358,0.587659,0.530547,36600
0.000596,0.002371,0.465432,0.640783,0.002378,0.102644,0.566076,0.69697,96300
0.000044,0.003269,0.440706,0.694804,0,0.304348,0.504673,0.857143,21000
0.00001,0,0.485968,0.565008,0,0,0.504545,0,23800
0.00024,0.002909,0.583258,0.576556,0.004425,0.049881,0.616239,0.047619,130400
0.002567,0.009604,0.43306,0.467949,0.061896,0.189474,0.638181,0.277778,49000
0.000213,0.000704,0.493918,0.679175,0,0.122222,0.514724,0.454545,37200
0.000496,0.005229,0.435218,0.642996,0.186429,0.157895,0.600527,0.4,46800
0.000338,0.001365,0.470529,0.606458,0.002094,0.266667,0.60837,0.125,60100
0.001066,0.000658,0.398177,0.651399,0.303061,0.116531,0.547065,0.604651,22300
0.000377,0.001273,0.44484,0.612067,0,0.171429,0.51467,0.583333,17900
0.001755,0.121223,0.569643,0.571426,0.131164,0.139423,0.717227,0.37931,179500
0.000135,0,0.381007,0.537607,0,0.185185,0.550365,0.2,28700
0.021957,0.020538,0.505929,0.55054,0.044195,0.119085,0.639163,0.505747,68300
0.000372,0.001516,0.32277,0.697703,0.010486,0.179688,0.550533,0.173913,42300
0.000009,0,0.447687,0.80667,0,0,0.611538,0,42500
0.000236,0.003388,0.467134,0.719802,0.016516,0.132911,0.568377,0.904762,56700
0.000469,0.000344,0.439023,0.572899,0.001512,0.212,0.609453,0.641509,38000
0.000841,0.000694,0.494205,0.734712,0.054407,0.209039,0.565754,0.567568,34700
0.000017,0,0.38867,0.47801,0,0,0.495349,0,14999
0.00013,0,0.420004,0.6622,0.002725,0.391304,0.569466,0.666667,34500
0.000092,0,0.438737,0.603488,0,0.15,0.529714,0.833333,51300
0.000112,0,0.413913,0.659393,0.006289,0.096774,0.616596,1,20000
0.000171,0.004395,0.395932,0.612839,0,0.065217,0.576431,0.333333,33700
0.002925,0.014606,0.448637,0.644169,0.356571,0.266949,0.598889,0.407407,40700
0.000091,0,0.445617,0.609015,0,0.185185,0.549767,0.8,22000
0.000258,0.003599,0.415199,0.584129,0.020604,0.192983,0.580831,0.545454,34700
0.000021,0,0.428326,0.756699,0.033898,0,0.566667,0,17000
0.000037,0,0.415654,0.661208,0.442308,0,0.623437,0,25000
